category,book_title,chapter_title,sentence,token,Era
經典,儀禮,士喪禮,卿大夫在主人之南,"['大夫', '主人', '卿大', '夫在', '之南']",先秦
經典,儀禮,燕禮,大夫辯受酬如受賔酬之禮不祭,"['大夫', '不祭', '辯受', '酬如', '受賔', '酬之', '禮不', '祭']",先秦
經典,周禮,春官宗伯,凡有道者有德者使教焉死則以為樂祖祭於瞽宗,"['有德者', '凡有', '道者', '有德', '者使', '教焉', '死則', '以為', '樂祖', '祭於', '瞽宗']",先秦
經典,周禮,秋官司寇,明日客拜禮賜遂行如入之積,"['明日', '客拜', '禮賜', '遂行', '如入', '之積']",先秦
經典,禮記,三年問,上取象於天下取法於地中取則於人人之所以群居和壹之理盡矣,"['天下', '上取', '象於', '取法', '於地', '中取', '則於', '人人', '之所', '以群', '居和', '壹之']",先秦
經典,禮記,喪大記,大夫之喪主人坐於東方主婦坐於西方其有命夫命婦則坐無則皆立,"['大夫', '主人', '東方', '西方', '之喪', '坐於', '主婦', '其有', '命夫', '命婦', '則坐']",先秦
儒家,孟子,公孫丑上,天下歸殷久矣久則難變也,"['天下', '歸殷', '久矣', '久則', '難變', '也']",先秦
儒家,孟子,告子下,取色之重者與禮之輕者而比之奚翅色重,"['取色', '之重', '者與', '禮之', '輕者', '而比', '之奚', '翅色', '重']",先秦
儒家,荀子,臣道,故無德之為道也傷疾墮功滅苦故君子不為也,"['無德', '君子', '故無', '德之', '為道', '也傷', '疾墮', '功滅', '苦故', '不為', '也']",先秦
儒家,荀子,議兵,於是有能化善脩身正行積禮義尊道德百姓莫不貴敬莫不親譽然後賞於是起矣,"['禮義', '百姓', '不貴', '不親', '於是', '有能', '化善', '脩身', '正行', '積禮', '義尊', '道德']",先秦
儒家,論語,子罕,子曰知者不惑仁者不憂勇者不懼,"['不惑', '仁者', '不憂', '不懼', '子曰', '知者', '勇者']",先秦
儒家,論語,憲問,子曰上好禮則民易使也,"['子曰', '上好', '禮則', '民易', '使也']",先秦
墨家,墨子,尚同上,天子立以其力為未足又選擇天下之賢可者置立之以為三公,"['天子', '天下', '三公', '立以', '其力', '為未', '足又', '選擇', '之賢', '可者', '置立', '之以']",先秦
墨家,墨子,法儀,天之行廣而無私其施厚而不德其明久而不衰故聖王法之,"['無私', '不德', '不衰', '聖王', '天之', '行廣', '而無', '私其', '施厚', '而不', '德其', '明久']",先秦
法家,商君書,修權,故上多惠言而剋其賞則下不用數加嚴令而不致其刑則民傲罪,"['不用', '不致', '故上', '多惠', '言而', '剋其', '賞則', '下不', '用數', '加嚴', '令而', '其刑']",先秦
法家,商君書,說民,故興國行罰則民利用賞則上重,"['故興', '國行', '罰則', '民利', '用賞', '則上', '重']",先秦
法家,慎子,逸文,法之功莫大使私不行君之功莫大使民不爭,"['莫大', '不行', '不爭', '法之', '功莫', '大使', '私不', '行君', '之功', '使民']",先秦
法家,慎子,逸文,聖王在上則君積於德化而民積於用力故婦人為其所衣丈夫為其所食則民無凍餓民得二生矣,"['聖王', '婦人', '丈夫', '無凍', '在上', '則君', '積於', '德化', '而民', '用力', '故婦', '人為']",先秦
法家,韓非子,二柄,為人臣者畏誅罰而利慶賞故人主自用其刑德則群臣畏其威而歸其利矣,"['人臣', '人主', '群臣', '為人', '臣者', '畏誅', '罰而', '利慶', '賞故', '自用', '其刑', '德則']",先秦
法家,韓非子,解老,夫棄道理而忘舉動者雖上有天子諸侯之勢尊而下有猗頓陶朱卜祝之富猶失其民人而亡其財資也,"['天子', '諸侯', '夫棄', '道理', '而忘', '舉動', '者雖', '上有', '之勢', '尊而', '下有', '猗頓']",先秦
道家,莊子,天地,故執德之謂紀德成之謂立循於道之謂備不以物挫志之謂完,"['故執', '德之', '謂紀', '德成', '之謂', '立循', '於道', '備不', '以物', '挫志']",先秦
道家,莊子,天道,老聃曰請問仁義人之性邪,"['老聃', '曰請', '問仁', '義人', '之性', '邪']",先秦
史傳,春秋左傳,僖公二十五年,冬晉侯圍原命三日之糧原不降命去之諜出曰原將降矣軍吏曰請待之公曰信國之寶也民之所庇也得原失信何以庇之所亡滋多退一舍而原降遷原伯貫于冀趙衰為原大夫狐溱為溫大夫,"['晉侯', '不降', '大夫', '冬晉', '侯圍', '原命', '三日', '之糧', '原不', '降命', '去之', '諜出']",先秦
史傳,春秋左傳,昭公五年,楚殺其大夫屈申,"['大夫', '楚殺', '其大', '夫屈', '申']",先秦
史傳,晏子春秋,仲尼稱晏子行補三君而不有果君子也,反命門弟子曰救民之姓而不夸行補三君而不有晏子果君子也,"['弟子', '不夸', '晏子', '君子', '反命', '門弟', '子曰', '救民', '之姓', '而不', '夸行', '補三']",先秦
史傳,晏子春秋,景公問天下之所以存亡晏子對以六說,景公問晏子曰寡人持不仁其無義耳也,"['景公', '晏子', '寡人', '不仁', '無義', '問晏', '子曰', '持不', '仁其', '耳也']",先秦
